CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11023,SETH,EDWARDS,10/11/1978,M,M,"$40,000 ",0,Partial College,Skilled Manual,Y
11024,RUSSELL,XIE,9/17/1978,M,M,"$60,000 ",0,Partial College,Skilled Manual,Y
11025,ALEJANDRO,BECK,12/23/1945,M,NA,"$10,000 ",2,Partial High School,Clerical,Y
11026,HAROLD,SAI,4/3/1946,S,M,"$30,000 ",2,Partial College,Clerical,N
11027,JESSIE,ZHAO,12/7/1946,M,M,"$30,000 ",2,Partial College,Clerical,Y
11028,JILL,JIMENEZ,4/11/1946,M,F,"$30,000 ",2,Partial College,Clerical,Y
11029,JIMMY,MORENO,12/21/1946,M,M,"$30,000 ",2,Partial College,Clerical,Y
11030,BETHANY,YUAN,2/22/1947,M,F,"$10,000 ",2,Partial High School,Clerical,Y
11031,THERESA,RAMOS,8/22/1947,M,F,"$20,000 ",4,High School,Skilled Manual,Y
11032,DENISE,STONE,6/11/1947,M,F,"$20,000 ",4,High School,Skilled Manual,Y
11033,JAIME,NATH,9/23/1947,M,M,"$20,000 ",4,High School,Skilled Manual,Y
11034,EBONY,GONZALEZ,6/19/1947,M,F,"$20,000 ",4,High School,Skilled Manual,Y
11035,WENDY,DOMINGUEZ,2/24/1948,M,NA,"$10,000 ",2,Partial High School,Clerical,Y
11036,JENNIFER,RUSSELL,12/18/1978,M,F,"$60,000 ",0,Partial College,Skilled Manual,Y
11037,CHLOE,GARCIA,11/27/1977,S,F,"$40,000 ",0,Partial High School,Clerical,N
11038,DIANA,HERNANDEZ,3/23/1948,M,F,"$10,000 ",2,Partial High School,Clerical,Y
11039,MARC,MARTIN,12/17/1948,M,M,"$30,000 ",3,Partial College,Clerical,Y
11040,JESSE,MURPHY,8/1/1977,M,M,"$30,000 ",0,Partial College,Skilled Manual,Y
11041,AMANDA,CARTER,10/16/1977,M,F,"$60,000 ",0,Partial College,Skilled Manual,Y
11042,MEGAN,SANCHEZ,6/13/1977,M,F,"$70,000 ",0,Partial College,Skilled Manual,Y
11043,NATHAN,SIMMONS,2/24/1976,M,M,"$60,000 ",0,Partial College,Skilled Manual,Y
11044,ADAM,FLORES,5/24/1949,M,M,"$20,000 ",2,Partial High School,Clerical,Y
11045,LEONARD,NARA,5/19/1950,S,M,"$30,000 ",3,High School,Skilled Manual,N
11046,CHRISTINE,YUAN,3/22/1950,M,F,"$30,000 ",3,High School,Skilled Manual,Y
11047,JACLYN,LU,2/27/1950,M,F,"$30,000 ",3,High School,Skilled Manual,N
11048,JEREMY,POWELL,11/22/1950,M,M,"$30,000 ",3,High School,Skilled Manual,Y
11049,CAROL,RAI,7/18/1980,S,F,"$40,000 ",0,Partial High School,Clerical,Y
11050,ALAN,ZHENG,9/7/1951,M,M,"$30,000 ",3,High School,Skilled Manual,Y
11051,DANIEL,JOHNSON,8/4/1951,S,M,"$30,000 ",3,High School,Skilled Manual,N
11052,HEIDI,LOPEZ,8/7/1951,S,F,"$40,000 ",2,Partial College,Clerical,N
11053,ANA,PRICE,8/20/1980,M,F,"$60,000 ",0,Partial College,Skilled Manual,N
11054,DEANNA,MUNOZ,3/10/1952,M,F,"$40,000 ",2,Partial College,Skilled Manual,Y
11055,GILBERT,RAJE,3/5/1952,M,M,"$40,000 ",2,Partial College,Skilled Manual,Y
11056,MICHELE,NATH,4/3/1953,M,F,"$40,000 ",3,Partial College,Skilled Manual,Y
11057,CARL,ANDERSEN,10/12/1953,M,M,"$70,000 ",2,Graduate Degree,Management,Y
11058,MARC,DIAZ,4/27/1954,M,M,"$80,000 ",2,Partial College,Skilled Manual,Y
11059,ASHLEE,ANDERSEN,4/1/1954,S,F,"$80,000 ",2,Partial College,Skilled Manual,Y
11060,JON,ZHOU,3/17/1954,M,M,"$80,000 ",2,Partial College,Skilled Manual,Y
11061,TODD,GAO,2/27/1954,M,M,"$80,000 ",2,Partial College,Skilled Manual,Y
11062,NOAH,POWELL,9/2/1975,M,M,"$40,000 ",0,High School,Skilled Manual,Y
11063,ANGELA,MURPHY,4/7/1975,S,F,"$40,000 ",0,High School,Skilled Manual,Y
11064,CHASE,REED,12/7/1975,M,M,"$40,000 ",0,High School,Skilled Manual,Y
11065,JESSICA,HENDERSON,10/9/1973,M,F,"$60,000 ",0,Partial College,Skilled Manual,N
11066,GRACE,BUTLER,11/27/1973,M,F,"$70,000 ",0,Partial College,Professional,Y
11067,CALEB,CARTER,9/25/1976,S,M,"$60,000 ",0,Partial College,Professional,Y
11068,TIFFANY,LIANG,9/23/1955,S,F,"$80,000 ",2,High School,Skilled Manual,Y
11069,CAROLYN,NAVARRO,9/21/1955,S,F,"$80,000 ",2,High School,Skilled Manual,N
11070,WILLIE,RAJI,4/5/1955,M,M,"$80,000 ",2,High School,Skilled Manual,Y
11071,LINDA,SERRANO,6/26/1955,S,F,"$80,000 ",2,High School,Skilled Manual,Y
11072,CASEY,LUO,2/6/1955,S,F,"$80,000 ",2,High School,Skilled Manual,N
11073,AMY,YE,8/14/1956,S,F,"$70,000 ",2,High School,Skilled Manual,Y
11074,LEVI,ARUN,8/28/1956,S,M,"$70,000 ",2,High School,Skilled Manual,Y
11075,FELICIA,JIMENEZ,11/16/1957,S,F,"$80,000 ",2,High School,Professional,Y
11076,BLAKE,ANDERSON,7/13/1957,S,M,"$80,000 ",2,High School,Professional,Y
11077,LEAH,YE,9/19/1957,S,F,"$80,000 ",2,High School,Professional,N
11078,GINA,MARTIN,1/10/1974,S,F,"$40,000 ",0,High School,Professional,N
11079,DONALD,GONZALEZ,3/11/1959,S,M,"$160,000 ",0,Graduate Degree,Management,Y
11080,DAMIEN,CHANDER,7/17/1959,M,M,"$170,000 ",0,Graduate Degree,Management,Y
11081,SAVANNAH,BAKER,7/24/1966,M,F,"$120,000 ",2,Bachelors,Management,Y
11082,ANGELA,BUTLER,8/4/1966,S,NA,"$130,000 ",0,Graduate Degree,Management,N
11083,ALYSSA,COX,3/15/1966,M,F,"$130,000 ",0,Graduate Degree,Management,Y
11084,LUCAS,PHILLIPS,9/12/1957,S,M,"$80,000 ",2,Partial High School,Skilled Manual,N
11085,EMILY,JOHNSON,7/19/1957,S,F,"$60,000 ",2,High School,Professional,N
11086,RYAN,BROWN,12/23/1957,M,M,"$70,000 ",2,Partial College,Professional,Y
11087,TAMARA,LIANG,10/3/1957,M,F,"$70,000 ",3,Partial College,Professional,N
11089,ABIGAIL,PRICE,2/5/1957,S,F,"$80,000 ",2,Bachelors,Management,Y
11090,TREVOR,BRYANT,12/17/1957,S,M,"$90,000 ",2,Partial College,Professional,Y
11091,DALTON,PEREZ,4/4/1957,M,M,"$90,000 ",2,Partial College,Professional,Y
11092,CHERYL,DIAZ,5/6/1967,M,F,"$90,000 ",2,Bachelors,Professional,Y
11093,AIMEE,HE,9/10/1967,M,F,"$100,000 ",0,Graduate Degree,Management,Y
11094,CEDRIC,MA,4/1/1962,S,M,"$70,000 ",1,Partial College,Skilled Manual,N
11095,CHAD,KUMAR,9/1/1962,S,M,"$70,000 ",1,Partial College,Skilled Manual,Y
11096,ANDRÉS,ANAND,8/10/1962,M,M,"$60,000 ",1,Bachelors,Professional,Y
11097,EDWIN,NARA,10/27/1961,M,M,"$60,000 ",1,Partial College,Skilled Manual,Y
11098,MALLORY,RUBIO,5/1/1961,S,F,"$60,000 ",1,Partial College,Skilled Manual,N
11099,ADAM,ROSS,3/8/1961,M,M,"$60,000 ",1,Bachelors,Professional,Y
11100,LATASHA,NAVARRO,9/15/1960,S,F,"$60,000 ",1,Partial College,Skilled Manual,Y
11101,ABBY,SAI,5/8/1965,S,F,"$70,000 ",0,Bachelors,Professional,N
11102,JULIA,NELSON,4/21/1965,S,F,"$80,000 ",5,Bachelors,Professional,Y
11103,CASSIE,CHANDE,10/17/1964,S,F,"$70,000 ",0,Bachelors,Professional,Y
11104,EDGAR,SARA,3/11/1964,M,M,"$70,000 ",0,Bachelors,Professional,N
11105,CANDACE,FERNANDEZ,12/28/1964,S,F,"$70,000 ",0,Bachelors,Professional,N
11106,JESSIE,LIU,9/11/1964,S,M,"$70,000 ",0,Bachelors,Professional,N
11107,BIANCA,LIN,9/9/1959,M,F,"$90,000 ",1,Bachelors,Professional,Y
11108,KARI,ALVAREZ,7/14/1963,S,F,"$70,000 ",0,Bachelors,Professional,N
11109,RUBEN,KAPOOR,11/5/1963,S,M,"$70,000 ",0,Bachelors,Professional,N
11110,CURTIS,YANG,6/6/1962,M,M,"$60,000 ",1,Partial College,Skilled Manual,Y
11111,MEREDITH,GUTIERREZ,2/23/1962,M,F,"$60,000 ",1,Partial College,Skilled Manual,Y
11112,CRYSTAL,WANG,9/9/1962,M,F,"$60,000 ",1,Partial College,Skilled Manual,Y
11113,MICHEAL,BLANCO,2/21/1962,M,M,"$70,000 ",5,Bachelors,Professional,Y
11114,LESLIE,MORENO,5/28/1962,S,F,"$70,000 ",5,Partial College,Skilled Manual,Y
11115,ALVIN,CAI,2/12/1962,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y
11116,CLINTON,CARLSON,10/7/1962,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y
11117,APRIL,DENG,2/21/1961,M,F,"$70,000 ",5,Partial College,Skilled Manual,Y
11118,ALVIN,ZENG,7/3/1957,S,M,"$80,000 ",1,Partial College,Skilled Manual,N
11119,EVAN,JAMES,4/10/1935,S,M,"$30,000 ",2,Partial College,Clerical,N
11121,ORLANDO,SUAREZ,11/18/1960,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y
11122,BYRON,VAZQUEZ,4/2/1960,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y
11123,PHILIP,ALVAREZ,6/20/1960,M,M,"$70,000 ",5,Partial College,Skilled Manual,Y
11124,ROSS,JORDAN,7/27/1957,S,M,"$80,000 ",1,Partial College,Skilled Manual,Y
11125,DANA,NAVARRO,4/8/1956,S,F,"$70,000 ",1,Partial College,Skilled Manual,Y
11126,SHAUN,CARSON,4/7/1949,M,M,"$10,000 ",2,High School,Skilled Manual,N
11127,JAN,EDWARDS,10/21/1975,M,F,"$40,000 ",0,High School,Skilled Manual,Y
11128,SAMANTHA,LONG,12/5/1975,M,F,"$40,000 ",0,High School,Skilled Manual,Y
11129,JULIA,WRIGHT,8/5/1975,S,F,"$40,000 ",0,High School,Skilled Manual,Y
11130,CAROLINE,RUSSELL,1/6/1980,M,F,"$30,000 ",0,High School,Skilled Manual,Y
11131,AMANDA,RIVERA,3/12/1980,M,F,"$30,000 ",0,High School,Skilled Manual,N
11132,MELISSA,RICHARDSON,10/26/1980,S,F,"$30,000 ",0,High School,Skilled Manual,N
11133,ANGELA,GRIFFIN,9/8/1980,S,F,"$30,000 ",0,Partial High School,Clerical,N
11134,LARRY,TOWNSEND,2/26/1946,S,M,"$10,000 ",5,High School,Skilled Manual,Y
11135,MARCUS,HARRIS,11/3/1979,S,M,"$30,000 ",0,Partial High School,Clerical,N
11136,BRIANNA,MORGAN,10/26/1978,S,F,"$40,000 ",0,High School,Skilled Manual,N
11137,JASMINE,TAYLOR,7/20/1978,M,F,"$40,000 ",0,High School,Skilled Manual,Y
11138,LAUREN,DAVIS,9/15/1978,M,F,"$40,000 ",0,High School,Skilled Manual,N
11139,TANYA,MORENO,11/9/1938,S,F,"$30,000 ",2,Partial College,Clerical,N
11140,JAVIER,ALVAREZ,2/11/1977,S,M,"$30,000 ",0,Partial High School,Clerical,N
11141,NICOLE,RAMIREZ,6/21/1977,M,F,"$40,000 ",0,High School,Skilled Manual,N
11142,EDUARDO,PATTERSON,8/14/1977,S,M,"$40,000 ",0,High School,Skilled Manual,N
11143,JONATHAN,HENDERSON,2/4/1977,M,M,"$40,000 ",0,High School,Skilled Manual,Y
11144,EDWARD,HERNANDEZ,9/9/1979,S,M,"$40,000 ",0,High School,Skilled Manual,N
11145,JASMINE,COLEMAN,12/8/1979,S,F,"$40,000 ",0,High School,Skilled Manual,N
11146,KARLA,GOEL,8/26/1939,S,F,"$40,000 ",2,Bachelors,Management,Y
11147,ERNEST,WU,2/5/1939,M,M,"$60,000 ",2,Graduate Degree,Management,Y
11148,ROSS,VAZQUEZ,8/16/1941,M,M,"$40,000 ",2,Bachelors,Management,Y
11149,THEODORE,GILL,4/20/1941,M,M,"$40,000 ",2,Bachelors,Management,Y
11150,RUSSELL,SHEN,3/15/1941,S,M,"$40,000 ",2,Bachelors,Management,Y
11151,MELINDA,GILL,2/25/1942,S,F,"$60,000 ",2,Graduate Degree,Management,N
11152,JAMES,WILLIAMS,1/10/1976,S,M,"$40,000 ",0,High School,Skilled Manual,Y
11153,ANGELA,JAMES,6/23/1976,M,F,"$40,000 ",0,High School,Skilled Manual,Y
11154,MEGAN,WALKER,8/21/1976,S,F,"$40,000 ",0,Partial College,Skilled Manual,Y
11155,HUNTER,ROBINSON,1/26/1976,S,M,"$40,000 ",0,Partial College,Skilled Manual,N
11156,MARIA,ROBERTS,2/7/1976,S,F,"$40,000 ",0,Partial College,Skilled Manual,N
11157,HANNAH,LONG,6/11/1975,M,F,"$40,000 ",0,High School,Skilled Manual,Y
11158,JASON,WRIGHT,10/8/1975,S,M,"$40,000 ",0,High School,Skilled Manual,Y
11159,BRIANNA,HUGHES,9/17/1975,S,F,"$40,000 ",0,High School,Skilled Manual,N
11160,MAURICE,TANG,1/8/1974,S,M,"$40,000 ",0,Partial College,Skilled Manual,N
11161,EMILY,WOOD,4/22/1974,S,F,"$40,000 ",0,Partial College,Skilled Manual,N
11162,CHASE,COX,3/5/1974,S,M,"$40,000 ",0,Partial College,Skilled Manual,Y
11163,GABRIEL,WANG,12/20/1974,M,M,"$40,000 ",0,Partial College,Skilled Manual,Y
11164,DEVIN,BROOKS,5/5/1974,S,M,"$40,000 ",0,Partial College,Skilled Manual,N
11165,JOCELYN,ALEXANDER,7/18/1973,M,F,"$60,000 ",0,Partial College,Skilled Manual,N
11166,ASHLEY,MARTINEZ,4/24/1972,S,F,"$70,000 ",0,Partial College,Skilled Manual,N
11167,JASMINE,BARNES,8/1/1972,S,F,"$80,000 ",0,Bachelors,Management,N
11168,DAVID,RODRIGUEZ,5/15/1968,S,M,"$80,000 ",0,Bachelors,Management,N
11169,BRYCE,RICHARDSON,6/22/1968,M,M,"$90,000 ",4,Bachelors,Management,Y
11170,CAROL,HOWARD,2/5/1968,M,F,"$90,000 ",4,Bachelors,Management,Y
11171,JONATHAN,HILL,10/9/1967,S,M,"$100,000 ",1,Bachelors,Management,Y
11172,GABRIELLE,ADAMS,11/21/1967,M,F,"$100,000 ",1,Bachelors,Management,Y
11173,SARAH,THOMAS,9/1/1967,S,F,"$110,000 ",0,Graduate Degree,Management,N
11174,NICHOLAS,ROBINSON,7/13/1967,M,M,"$110,000 ",0,Graduate Degree,Management,Y
11175,LUIS,WANG,3/5/1963,S,M,"$70,000 ",0,Partial College,Skilled Manual,Y
11176,MASON,ROBERTS,1/25/1968,M,M,"$90,000 ",4,Bachelors,Management,Y
11177,JOSE,FLORES,7/4/1942,M,M,"$110,000 ",2,Graduate Degree,Management,Y
11178,NATHAN,JOHNSON,8/24/1943,M,M,"$100,000 ",2,Graduate Degree,Management,Y
11179,MOLLY,RODRIGUEZ,6/14/1943,M,F,"$120,000 ",2,Graduate Degree,Management,Y
11180,APRIL,ANAND,1/2/1943,M,F,"$160,000 ",1,Bachelors,Management,Y
11181,DEVIN,MARTIN,8/8/1943,M,M,"$170,000 ",2,Graduate Degree,Management,Y
11182,STEPHANIE,TORRES,8/25/1944,S,F,"$70,000 ",4,Bachelors,Management,Y
11183,JASMINE,LEE,7/15/1944,S,F,"$70,000 ",4,Bachelors,Management,Y
11184,MEGHAN,HERNANDEZ,11/16/1944,S,F,"$70,000 ",4,Bachelors,Management,Y
11185,ASHLEY,HENDERSON,10/8/1944,S,F,"$70,000 ",4,Bachelors,Management,Y
11186,SARAH,PRICE,5/21/1944,S,F,"$70,000 ",4,Bachelors,Management,Y
11187,JENNIFER,COOPER,2/22/1944,M,F,"$60,000 ",4,Graduate Degree,Management,Y
11188,CATHERINE,MORRIS,9/6/1944,M,F,"$60,000 ",4,Graduate Degree,Management,N
11190,CARSON,BRYANT,6/22/1944,M,M,"$70,000 ",5,Bachelors,Management,Y
11191,KRISTI,PEREZ,12/18/1945,S,F,"$70,000 ",5,Bachelors,Management,Y
11192,JAMES,BROWN,9/13/1945,M,M,"$60,000 ",4,Bachelors,Management,Y
11193,IAN,GRAY,2/13/1945,M,M,"$60,000 ",4,Bachelors,Management,Y
11194,JACQUELINE,PRICE,6/10/1945,M,F,"$60,000 ",4,Bachelors,Management,Y
11195,MEGAN,HENDERSON,2/10/1946,M,F,"$60,000 ",5,Bachelors,Management,Y
11196,ALFREDO,ROMERO,6/7/1946,M,M,"$60,000 ",5,Bachelors,Management,Y
11197,ANDREA,MORRIS,6/18/1946,M,F,"$70,000 ",3,Bachelors,Management,N
11198,BROOKE,SANDERS,11/26/1946,S,F,"$70,000 ",4,Bachelors,Management,Y
11199,JACQUELINE,BENNETT,11/6/1946,M,F,"$70,000 ",4,Bachelors,Management,Y
11200,JASON,GRIFFIN,11/22/1947,M,M,"$70,000 ",4,Bachelors,Management,Y
11201,AMANDA,FOSTER,8/18/1947,M,F,"$70,000 ",4,Bachelors,Management,Y
11202,ALEXIA,PRICE,8/26/1947,M,F,"$80,000 ",5,Bachelors,Management,N
11203,LUIS,DIAZ,8/21/1948,M,M,"$40,000 ",2,High School,Professional,Y
11205,ABBY,FERNANDEZ,7/24/1948,M,F,"$40,000 ",2,High School,Professional,Y
11206,BLAKE,FLORES,9/24/1948,M,M,"$60,000 ",2,Partial College,Professional,Y
11207,DANIELLE,COX,7/19/1948,S,F,"$60,000 ",2,Partial College,Professional,Y
11208,MARIA,REED,2/4/1948,M,F,"$60,000 ",2,Bachelors,Management,Y
11209,ALLISON,EVANS,1/13/1948,M,F,"$60,000 ",2,Bachelors,Management,Y
11210,EDWARD,WOOD,6/8/1948,M,M,"$70,000 ",4,Partial College,Professional,Y
11211,SAMANTHA,RUSSELL,10/12/1949,M,F,"$40,000 ",2,High School,Professional,Y
11212,CHLOE,CAMPBELL,11/5/1949,M,F,"$40,000 ",2,High School,Professional,Y
11213,STEPHANIE,MURPHY,5/14/1949,S,F,"$60,000 ",2,Partial College,Professional,Y
11214,CHARLES,MILLER,11/7/1949,S,M,"$60,000 ",2,Partial College,Professional,Y
11215,ANA,PERRY,6/21/1950,M,F,"$40,000 ",2,Partial High School,Skilled Manual,Y
11216,JASMINE,TORRES,5/20/1950,S,F,"$60,000 ",2,Partial College,Professional,Y
11217,NATALIE,ADAMS,2/11/1950,S,F,"$60,000 ",2,Partial College,Professional,Y
11218,OLIVIA,BROWN,9/11/1950,S,F,"$60,000 ",2,Partial College,Professional,N
11219,CHARLES,COOK,12/2/1950,M,M,"$60,000 ",2,High School,Professional,Y
11220,ERICA,HUANG,2/23/1950,M,F,"$60,000 ",2,Partial College,Professional,Y
11221,NATHAN,PERRY,6/10/1950,M,M,"$70,000 ",4,Partial College,Professional,Y
11222,ALEXANDRA,RIVERA,8/17/1950,M,F,"$80,000 ",3,Bachelors,Management,Y
11223,HAILEY,PATTERSON,9/16/1951,S,F,"$70,000 ",2,High School,Professional,Y
11224,TIFFANY,LI,9/6/1951,S,F,"$70,000 ",2,High School,Professional,Y
11226,SYDNEY,ROSS,9/27/1951,M,F,"$60,000 ",2,Partial College,Professional,Y
11227,MARSHALL,CHAVEZ,8/12/1951,S,M,"$60,000 ",2,Partial College,Professional,Y
11228,ASHLEY,JONES,4/19/1951,M,F,"$60,000 ",2,Partial College,Professional,Y
11229,ADRIAN,STEWART,12/3/1951,S,M,"$70,000 ",4,Partial College,Professional,Y
11230,AMBER,TURNER,4/3/1951,M,F,"$70,000 ",4,Partial College,Professional,N
11231,DENNIS,ZHANG,11/14/1952,M,M,"$60,000 ",2,High School,Professional,Y
11232,HAILEY,BRYANT,9/27/1952,M,F,"$60,000 ",3,High School,Professional,N
11233,TODD,LI,9/9/1952,M,M,"$70,000 ",4,Partial College,Professional,Y
11234,ANNA,GRIFFIN,11/19/1952,S,NA,"$70,000 ",4,Partial College,Professional,Y
11235,ANGEL,STEWART,2/8/1952,M,M,"$70,000 ",4,Partial College,Professional,Y
11236,JEREMY,BUTLER,3/5/1952,S,M,"$70,000 ",5,Partial College,Professional,Y
11237,CLARENCE,ANAND,9/23/1958,S,M,"$130,000 ",2,Bachelors,Management,N
11238,MAYRA,PRASAD,8/10/1958,S,F,"$130,000 ",2,Bachelors,Management,N
11239,LATOYA,GOEL,10/6/1958,M,F,"$130,000 ",2,Partial College,Professional,N
11240,ANNE,HERNANDEZ,12/11/1958,M,F,"$160,000 ",2,Partial College,Professional,Y
11241,LISA,CAI,10/11/1957,S,F,"$100,000 ",2,Partial College,Professional,Y
11242,LARRY,MUNOZ,11/11/1957,M,M,"$110,000 ",2,Partial College,Professional,Y
11243,ROBIN,ALVAREZ,10/9/1957,M,F,"$150,000 ",2,Partial College,Professional,Y
11244,ALEXIS,COLEMAN,11/26/1957,S,F,"$170,000 ",2,Bachelors,Management,N
11245,RICKY,VAZQUEZ,10/27/1956,M,M,"$120,000 ",3,High School,Professional,N
11247,CLAUDIA,ZHOU,6/6/1956,S,F,"$130,000 ",3,Partial College,Professional,N
11248,TRISTAN,ALEXANDER,3/26/1955,M,M,"$110,000 ",3,Partial College,Professional,Y
11249,CINDY,PATEL,7/13/1955,M,F,"$130,000 ",3,Partial College,Professional,Y
11250,SHANNON,LIU,3/12/1955,M,F,"$170,000 ",3,High School,Professional,Y
11251,XAVIER,LONG,7/4/1932,S,M,"$30,000 ",4,High School,Professional,N
11252,NICHOLAS,THOMPSON,6/7/1932,S,M,"$90,000 ",3,Graduate Degree,Management,Y
11253,JOSÉ,HERNANDEZ,2/28/1933,M,M,"$60,000 ",2,Graduate Degree,Management,Y
11254,JOHNATHAN,VANCE,3/3/1933,M,M,"$70,000 ",4,Graduate Degree,Management,Y
11255,COLIN,LIN,4/4/1933,M,M,"$70,000 ",4,Graduate Degree,Management,Y
11256,KATELYN,HERNANDEZ,9/20/1933,M,F,"$70,000 ",4,Graduate Degree,Management,Y
11257,JACQUELINE,POWELL,1/6/1933,S,F,"$120,000 ",1,Graduate Degree,Management,Y
11258,XAVIER,HILL,6/28/1933,M,M,"$120,000 ",1,Graduate Degree,Management,Y
11259,VICTORIA,STEWART,3/27/1965,M,F,"$100,000 ",4,Partial College,Professional,Y
11260,KATELYN,KELLY,4/12/1965,M,F,"$110,000 ",2,Bachelors,Management,Y
11261,STEPHANIE,COLLINS,4/24/1965,M,F,"$130,000 ",1,Graduate Degree,Management,Y
11262,JENNIFER,SIMMONS,5/4/1964,M,F,"$80,000 ",4,Bachelors,Management,Y
11263,TRINITY,RICHARDSON,9/11/1964,M,F,"$90,000 ",5,Partial College,Professional,Y
11264,EDUARDO,MARTIN,6/17/1964,S,M,"$90,000 ",5,Partial College,Professional,N
11265,ELIZABETH,JONES,7/13/1964,M,F,"$90,000 ",5,Partial College,Professional,Y
11266,TAYLOR,HOWARD,5/5/1964,S,F,"$90,000 ",0,Partial College,Professional,N
11267,DAVID,DIAZ,10/2/1964,S,M,"$120,000 ",4,Partial College,Professional,Y
11268,KATELYN,CARTER,5/3/1964,M,F,"$130,000 ",2,Graduate Degree,Management,Y
11269,RYAN,FOSTER,10/13/1964,M,M,"$130,000 ",2,Graduate Degree,Management,Y
11270,ROBERT,LEE,5/4/1964,M,M,"$130,000 ",2,Graduate Degree,Management,Y
11271,DANIELLE,REED,6/5/1964,S,F,"$150,000 ",2,Bachelors,Management,N
11272,LAUREN,MARTINEZ,11/10/1956,S,F,"$70,000 ",4,Partial College,Professional,Y
11273,NATHAN,LAL,10/1/1956,M,M,"$90,000 ",2,Partial College,Professional,Y
11274,KYLE,FOSTER,4/12/1934,M,M,"$50,000 ",2,Graduate Degree,Management,Y
11275,JENNY,RAI,1/18/1934,M,F,"$80,000 ",4,Graduate Degree,Management,Y
11276,NANCY,CHAPMAN,9/19/1963,M,F,"$80,000 ",4,Partial College,Professional,Y
11277,CHARLES,JACKSON,6/10/1963,M,M,"$80,000 ",4,Partial College,Professional,Y
11278,JONATHAN,PHILLIPS,8/20/1963,S,M,"$90,000 ",0,Partial College,Professional,N
11279,AMANDA,COOK,9/12/1963,M,F,"$90,000 ",0,Partial College,Professional,Y
11280,ROBERT,COLLINS,8/21/1963,M,M,"$90,000 ",0,Partial College,Professional,Y
11281,MEGAN,BARNES,10/10/1963,S,F,"$110,000 ",4,Bachelors,Management,Y
11282,CHRISTIAN,THOMAS,1/16/1962,M,M,"$90,000 ",5,Partial College,Professional,Y
11283,ARTURO,LAL,10/26/1962,M,M,"$110,000 ",1,Bachelors,Management,Y
11284,THERESA,SERRANO,3/27/1962,M,F,"$110,000 ",1,Bachelors,Management,Y
11285,JEREMY,ANDERSON,3/19/1962,M,M,"$120,000 ",1,Partial College,Professional,N
11286,HUNTER,GRIFFIN,3/3/1962,M,M,"$170,000 ",0,Graduate Degree,Management,Y
11287,HENRY,GARCIA,1/16/1961,M,M,"$70,000 ",5,Partial College,Professional,N
11288,CINDY,SANCHEZ,9/16/1961,M,F,"$110,000 ",1,Bachelors,Management,Y
11289,MARIA,CARTER,3/7/1961,M,F,"$130,000 ",1,Bachelors,Management,Y
11290,KATELYN,SANCHEZ,8/18/1961,M,F,"$130,000 ",1,Bachelors,Management,Y
